584,neither,neither,"""Two roads diverged in a yellow wood, and I chose the one to J&#246;tunheimr"" - Robert Frost Giant"
19078,neither,neither,"RT @bitterarab: Now that Halloween is fast approaching please understand this. We are a culture, not a costume to mock and ridicule! http:/&#8230;"
8080,sexism,sexism,Awk... U don't like your own nephew / cousins bc our race.. LMAO broke ugly bitches fuck them we don't need them
14305,sexism,sexism,Quit talking shit you fucking faggot. You're seriously just mad bc no one wants you. Who the fuck do you even think you are?
21142,racism,sexism,Sexy Japanese slut fingers and toys her pussy on the steps squirting her juice all&#160;over http://t.co/svs8idZjYp
20840,sexism,sexism,"RT @yaboybillnye: its funny when sluts say ""u just mad cause I'm 100% real"" its like no bitch #swerve cuz u actually about 65% water gtfo"
15382,neither,neither,"RT @DonnieWahlberg: Happy #BLUBLOODS Friday!  Off to @CBSNews to sit down with the gang on CBS This Morning!  Join us in the 8 o'clock ho&#8230;"
5606,racism,racism,@_xpriceless_ bitch u forcin it talkin about my family and shit watch out
15371,racism,racism,"RT @Doestaxxx: Stop fuckin jail birds. RT""@__BRAT_: Niggas that's that serious about ass play scare me. That shit so sus"""
23848,sexism,sexism,You know you a bitch ass so I don't need to say it.
13455,sexism,sexism,"My problem is I got a STRONG ""IDGAF"" attitude. Ion show NO Feelings to these pussy mfs &#128175;"
3616,neither,neither,"@Italian_Montana @CarterBoy_leake ant is a pussy man, don't make me pull up the pic!!!!"
6730,sexism,sexism,@lanaaabanana lady Bligh is my bitch!! I got 10 natty daddy's in my fridge #turnup
22814,sexism,sexism,U know this bitch hard http://t.co/oGhm5uYVuC
17060,sexism,sexism,RT @NoChillScottyD: Y'all fat bitches with small titties look like Teddy Grahams.
17634,neither,neither,"RT @SethMacFarlane: And thus endeth our warm, fuzzy holiday lesson: Never take those you love for granted, for they can be gone in a flash."
3619,sexism,sexism,@ItsKeeshKapeesh *yourself *faggot buy a dictionary
24582,homophobia,sexism,"imma tall dread head wit a fat face  bitch do better"
25049,sexism,sexism,these bitches singing this song tho -_-
4819,sexism,sexism,@ShakiyaTeniece @celebrity_ke she said she aint tricking off on them hoes...lls...foolish
17706,sexism,sexism,"RT @ShxtWesleySays: ""Let me put my kids up in ya mouth bitch. I'ma turn this shit into a foster home."""
1173,neither,neither,&#8220;@BobbyBudnic Oxtails and yellow rice is blasphemy&#8221; boneless
742,neither,neither,#Iowa is full of white trash
8530,sexism,sexism,Camo day! Catch me at school huntin' for basic bitches http://t.co/NPiq0jS5uz
18579,sexism,sexism,RT @YatchakHannah: @aireekaTK stop crying you pussy
24929,sexism,sexism,shut up bitch
4501,sexism,sexism,@PERRO5070 bitch tits
8452,racism,racism,Bullets stick to a nigguh damn liver
526,neither,neither,"""LOL, cripple!"" - Wendy Davis. RT @MailOnline: Scientists create remote-controlled chick to study shy penguins http://t.co/mT3B09Slod"
6618,homophobia,sexism,@kieffer_jason bitch didn't we just discuss this shit yesterday what time faget
13921,racism,racism,Ol heads always think a young nicca gon runoff wit they sacc
14476,neither,neither,RT @Alex_Alfarkh: I'm a pussy
19107,racism,sexism,RT @brittanyaflores: you got niggas &amp; I got bitches &#128080;
13797,neither,neither,Nothing more yokel MSU fan than to constantly reassess Izzo *aka our only consistent winner since D. Daugherty or Biggie flipping Munn*
3931,sexism,sexism,@KilaurenK u stupid fuk head bitch
4954,transphobia,racism,@SydneeSmalling fuck Miley tranny looking now damn ass nigga
24855,sexism,sexism,pls stop gassing fat hoes
1221,sexism,sexism,"&#8220;@Coley_Cee: @lil_aerii @__yhanaaaa @DTHANG_ lmfaoooo, bitch don't start.&#8221; Okay bitch"
23260,sexism,sexism,Where this brolic bitch at ? Lol http://t.co/c0ooYDnq4M
12574,sexism,sexism,Krakin this bitch ipem at 12... WHO SIPPIN WIT ME... ELEMENTS http://t.co/lGCM88hsnP
20606,neither,neither,"RT @thejokerxo: &#128064;&#127939; ""@Weed_Cloudz: Does SZA have freckles on her pussy too?"""
13831,sexism,sexism,"Nuh uh RT @MissSneed: still counts. RT @WeavusChrist: I&#8217;m only a hoe on twitter, bae"
17516,sexism,sexism,RT @Rock76_: just show im not playing in this bitch one false move ima spraying in this bitch @1waynostra
10814,sexism,sexism,I have officially earned my right to bitch about things for the next two years! Yay!
10264,sexism,sexism,I ain't really trippin about the money yo that shit constantly comes like a bitch pussy
1340,racism,racism,&#8220;@ICEom @SupurMario27 coolin my nig ( @1TIMMYTEE voice)&#8221; uhhee ( @ICEom laugh)
3243,homophobia,sexism,@Farrahisawhore @PersianFarrah nice account faggot
5104,sexism,sexism,@TheRealDiamondJ I'm the type to put that bitch in a river so you can gtf out my locations lol
11018,neither,neither,I love when the pussy smacking an it sound like u mixing spaghetti&#128541;
19271,sexism,sexism,RT @datnigga_laced: I'm fuking every night up in my new house .. Cause bitch I worked to hard fa this new house .. &#128513;
13445,racism,racism,"My nigguh Me naturally forever be fly!"
23732,sexism,sexism,You are so fake &amp; I'm going to put you on blast bitch.
